"trip_year","trip_week","total_trips"
"2024","1","1223346"
"2024","14","4848836"
"2024","15","4656645"
"2024","16","4712915"
"2024","17","4373547"
"2024","18","4685760"
"2024","19","4759063"
"2024","20","4822226"
"2024","21","4545273"
"2024","22","4489111"
"2024","23","4707100"
"2024","24","4648503"
"2024","25","4681096"
"2024","26","4630727"
"2024","27","4023170"
"2024","28","4487553"
"2024","29","4582806"
"2024","30","4378001"
"2024","31","4468737"
"2024","32","4436151"
"2024","33","4203061"
"2024","34","4123868"
"2024","35","4247890"
"2024","36","4415839"
"2024","37","4481998"
"2024","38","4510483"
"2024","39","4603375"
"2024","40","4355220"
"2024","41","4513409"
"2024","42","4556046"
"2024","43","4686529"
"2024","44","4705499"
"2024","45","4494308"
"2024","46","4654752"
"2024","47","4877116"
"2024","48","4353827"
"2024","49","5037749"
"2024","50","5242258"
"2024","51","4994538"
"2024","52","3948251"
"2025","1","3063782"
"2025","2","4601155"
"2025","3","4678593"
"2025","4","4818438"
"2025","5","4734706"
"2025","6","4791643"
"2025","7","4961249"
"2025","8","4821352"
"2025","9","4763998"
"2025","10","4726514"
"2025","11","4648854"
"2025","12","4631301"
"2025","13","4483173"
"2025","14","557248"
